"notification_count","deviceType"
"37","TILE"
"168","TILE"
"3","TILE"
"12","TILE"
"1","TILE"
"1","TILE"
"7","TILE"
"4","TILE"
"22","TILE"
"1","TILE"
"1","TILE"
"1","TILE"
"21","TILE"
"49","TILE"
"5","TILE"
"17","TILE"
"8","TILE"
"53","TILE"
"15","TILE"
"4","TILE"
"1","TILE"
"1","TILE"
"1","TILE"
"2","TILE"
"3","TILE"
"3","TILE"
"4","TILE"
"3","TILE"
"6","TILE"
"2","TILE"
"7","TILE"
"3","TILE"
"1","TILE"
"6","TILE"
"3","TILE"
"19","TILE"
"1","TILE"
"7","TILE"
"29","TILE"
"9","TILE"
"14","TILE"
"2","TILE"
"1","TILE"
"3","TILE"
"7","TILE"
"14","TILE"
"81","TILE"
"1","TILE"
"4","TILE"
"300","TILE"
"230","TILE"
"172","TILE"
"2","TILE"
"25","TILE"
"16","TILE"
"40","TILE"
"68","TILE"
"52","TILE"
"62","TILE"
"40","TILE"
"18","TILE"
"273","TILE"
"1","TILE"
"3","TILE"
"91","TILE"
"2","TILE"
"1","TILE"
"5","TILE"
"1","TILE"
"4","TILE"
"1","TILE"
"23","TILE"
"3","TILE"
"92","TILE"
"94","TILE"
"179","TILE"
"4","TILE"
"13","TILE"
"38","TILE"
"57","TILE"
"67","TILE"
"2","TILE"
"9","TILE"
"213","TILE"
"124","TILE"
"55","TILE"
"32","TILE"
"1","TILE"
"2","TILE"
"8","TILE"
"4","TILE"
"11","TILE"
"30","TILE"
"43","TILE"
"11","TILE"
"11","TILE"
"4","TILE"
"5","TILE"
"30","TILE"
"34","TILE"
"19","TILE"
"80","FIND_MY"
"46","TILE"
"11","TILE"
"1","TILE"
"118","TILE"
"115","TILE"
"6","TILE"
"9","TILE"
"10","TILE"
"5","TILE"
"3","TILE"
"79","TILE"
"22","TILE"
"3","TILE"
"1","TILE"
"20","TILE"
"2","TILE"
"73","TILE"
"76","TILE"
"55","TILE"
"84","TILE"
"3","TILE"
"2","TILE"
"2","TILE"
"76","Tile"
"24","TILE"
"35","Chipolo"
"3","TILE"
"8","Tile"
"3","TILE"
"8","Tile"
"122","CHIPOLO"
"6","TILE"
"51","Tile"
"25","Chipolo"
"44","Tile"
"70","Tile"
"85","Tile"
"6","Tile"
"8","Tile"
"3","Tile"
"9","Chipolo"
"10","Chipolo"
"1","GALAXY_SMART_TAG"
"4","TILE"
"7","Tile"
"187","TILE"
"1","Tile"
"21","Tile"
"147","TILE"
"10","Tile"
"6","Tile"
"120","TILE"
"25","TILE"
"13","TILE"
"12","TILE"
"13","TILE"
"4","TILE"
"9","TILE"
"17","TILE"
"8","TILE"
"58","TILE"
"10","TILE"
"61","TILE"
"12","TILE"
"15","TILE"
"10","TILE"
"14","TILE"
"13","TILE"
"33","Tile"
"6","TILE"
"3","TILE"
"23","Tile"
"7","Tile"
"8","Tile"
"10","Tile"
"9","Tile"
"6","Tile"
"8","TILE"
"6","Tile"
"5","Tile"
"2","TILE"
"7","Tile"
"1","Tile"
"13","Chipolo"
"1","GALAXY_SMART_TAG_PLUS"
"22","Tile"
"2","Tile"
"23","Tile"
"24","Tile"
"38","Tile"
"4","FIND_MY"
"7","Tile"
"64","TILE"
"19","TILE"
"6","TILE"
"4","Tile"
"10","Tile"
"89","Tile"
"4","Tile"
"8","Tile"
"16","TILE"
"9","Tile"
"9","Tile"
"51","Tile"
"38","Tile"
"10","Tile"
"10","Tile"
"11","Tile"
"1","TILE"
"1","Tile"
"3","TILE"
"1","TILE"
"2","TILE"
"2","Tile"
"33","TILE"
"3","Chipolo"
"1","TILE"
"1","TILE"
"4","TILE"
"21","Tile"
"8","TILE"
"141","TILE"
"11","TILE"
"24","TILE"
"6","FIND_MY"
"6","FIND_MY"
"101","FIND_MY"
"138","FIND_MY"
"13","TILE"
"1","Tile"
"11","TILE"
"8","TILE"
"14","TILE"
"15","TILE"
"212","Tile"
"22","Tile"
"20","Tile"
"30","CHIPOLO"
"24","TILE"
"35","TILE"
"14","Chipolo"
"9","TILE"
"6","Tile"
"33","Tile"
"5","Tile"
"434","TILE"
"24","Tile"
"38","Tile"
"5","TILE"
"78","Tile"
"4","Tile"
"5","Tile"
"55","TILE"
"66","TILE"
"51","TILE"
"53","TILE"
"53","TILE"
"3","Tile"
"3","Tile"
"304","Tile"
"88","TILE"
"1","Chipolo"
"1","TILE"
"1","Tile"
"2","Tile"
"14","Tile"
"255","Tile"
"3","Tile"
"18","Tile"
"25","Tile"
"2","Tile"
"7","Tile"
"25","TILE"
"44","TILE"
"13","TILE"
"15","Tile"
"22","Tile"
"71","TILE"
"7","Tile"
"9","Tile"
"2","TILE"
"4","TILE"
"2","TILE"
"46","TILE"
"2","FindMy Device"
"14","TILE"
"79","Tile"
"2","Tile"
"7","Tile"
"11","Tile"
"2","Tile"
"2","Tile"
"2","Tile"
"1","TILE"
"35","Tile"
"7","Tile"
"97","TILE"
"129","TILE"
"14","TILE"
"15","Tile"
"1","TILE"
"1","TILE"
"34","TILE"
"5","TILE"
"10","TILE"
"13","Tile"
"7","Tile"
"1","Chipolo"
"15","TILE"
"17","TILE"
"2","TILE"
"18","TILE"
"10","Tile"
"5","TILE"
"108","TILE"
"20","FIND_MY"
"19","Tile"
"4","FIND_MY"
"20","FIND_MY"
"3","TILE"
"2","TILE"
"3","TILE"
"6","Tile"
"5","TILE"
"71","Tile"
"6","FIND_MY"
"14","Tile"
"49","Tile"
"7","TILE"
"2","Tile"
"5","Tile"
"4","TILE"
"7","TILE"
"22","Tile"
"25","Tile"
"2","Tile"
"24","Tile"
"4","Tile"
"17","Tile"
"64","TILE"
"37","TILE"
"38","TILE"
"7","TILE"
"13","Tile"
"16","Tile"
"1","TILE"
"93","TILE"
"10","Tile"
"11","Tile"
"28","Tile"
"166","TILE"
"148","TILE"
"23","Tile"
"83","TILE"
"19","Tile"
"3","TILE"
"9","TILE"
"42","TILE"
"41","Tile"
"42","Tile"
"42","TILE"
"162","TILE"
"1","TILE"
"3","TILE"
"2","TILE"
"119","Tile"
"116","Tile"
"14","Tile"
"23","TILE"
"68","Tile"
"6","TILE"
"3","TILE"
"24","Tile"
"13","Tile"
"2","TILE"
"5","Tile"
"14","Tile"
"11","Tile"
"10","Tile"
"9","Tile"
"34","FIND_MY"
"26","TILE"
"34","TILE"
"2","TILE"
"138","Tile"
"246","TILE"
"3","TILE"
"8","Tile"
"48","Tile"
"1","TILE"
"4","TILE"
"30","Tile"
"27","TILE"
"14","TILE"
"5","Tile"
"21","TILE"
"2","Tile"
"4","Tile"
"7","Tile"
"9","Tile"
"30","TILE"
"18","TILE"
"11","TILE"
"39","TILE"
"8","Tile"
"13","Tile"
"46","TILE"
"1","TILE"
"9","Tile"
"9","Tile"
"29","Tile"
"49","Tile"
"42","Tile"
"16","TILE"
"4","Tile"
"17","Tile"
"3","TILE"
"4","Tile"
"16","TILE"
"10","Tile"
"13","Tile"
"43","Tile"
"53","TILE"
"3","TILE"
"9","Tile"
"5","Tile"
"93","Tile"
"8","Tile"
"31","TILE"
"2","TILE"
"24","Tile"
"3","Tile"
"1","Tile"
"16","Tile"
"42","Tile"
"10","Tile"
"263","TILE"
"15","Tile"
"2","TILE"
"45","TILE"
"36","TILE"
"53","TILE"
"31","TILE"
"34","TILE"
"42","TILE"
"80","TILE"
"76","TILE"
"1","Tile"
"23","Tile"
"129","Tile"
"63","Tile"
"10","Tile"
"44","TILE"
"148","Tile"
"54","Tile"
"4","Tile"
"1","TILE"
"56","TILE"
"1","Tile"
"65","TILE"
"66","TILE"
"9","Chipolo"
"2","TILE"
"3","TILE"
"14","TILE"
"49","Tile"
"2","Tile"
"3","TILE"
"3","Tile"
"16","Tile"
"1","TILE"
"45","Tile"
"5","Tile"
"5","TILE"
"26","Tile"
"37","Tile"
"12","Tile"
"5","Tile"
"7","Chipolo"
"1","TILE"
"23","Tile"
"6","TILE"
"3","TILE"
"4","Tile"
"8","Tile"
"1","TILE"
"5","Tile"
"16","Tile"
"16","Tile"
"8","Tile"
"5","TILE"
"7","TILE"
"4","Tile"
"10","Tile"
"20","Tile"
"4","Tile"
"4","Tile"
"12","TILE"
"54","TILE"
"3","Tile"
"3","Tile"
"33","Tile"
"2","Tile"
"8","Tile"
"13","Tile"
"1","Tile"
"4","Tile"
"59","TILE"
"2","Tile"
"17","Tile"
"13","Tile"
"1","TILE"
"5","Tile"
"1","TILE"
"5","TILE"
"6","TILE"
"9","TILE"
"4","Tile"
"87","TILE"
"123","TILE"
"104","TILE"
"3","Tile"
"21","Tile"
"29","Tile"
"19","TILE"
"172","Tile"
"5","Tile"
"11","FIND_MY"
"1","TILE"
"2","TILE"
"1","TILE"
"127","TILE"
"8","TILE"
"32","TILE"
"4","Tile"
"12","Tile"
"49","TILE"
"46","TILE"
"36","TILE"
"31","Tile"
"3","TILE"
"3","TILE"
"31","Tile"
"32","Tile"
"24","Tile"
"1","TILE"
"10","TILE"
"11","TILE"
"2","Tile"
"20","TILE"
"8","Tile"
"4","Tile"
"24","Tile"
"4","TILE"
"14","Tile"
"22","TILE"
"22","TILE"
"42","TILE"
"40","TILE"
"4","TILE"
"2","TILE"
"4","TILE"
"7","Tile"
"2","Tile"
"1","TILE"
"3","TILE"
"1","TILE"
"30","FIND_MY"
"44","TILE"
"10","Tile"
"1","Tile"
"16","TILE"
"6","TILE"
"17","Tile"
"5","Tile"
"20","Tile"
"30","Tile"
"1","Tile"
"11","Tile"
"26","Tile"
"18","TILE"
"12","Tile"
"62","TILE"
"33","Tile"
"37","Tile"
"39","Tile"
"45","TILE"
"5","Tile"
"8","Tile"
"1","Tile"
"2","Tile"
"2","TILE"
"1","Tile"
"3","TILE"
"2","Chipolo"
"6","Tile"
"21","Tile"
"18","Tile"
"4","Tile"
"1","Tile"
"11","Tile"
"1","Tile"
"1","Tile"
"9","Tile"
"2","Tile"
"2","Tile"
"4","Tile"
"1","Tile"
"12","Tile"
"6","Tile"
"10","Tile"
"5","Tile"
"9","Tile"
"30","Tile"
"4","Tile"
"1","Tile"
"13","Tile"
"68","TILE"
"35","TILE"
"34","TILE"
"2","Tile"
"6","Tile"
"9","Tile"
"5","Tile"
"7","TILE"
"3","Tile"
"2","Tile"
"1","Apple AirTag"
"1","Tile"
"5","TILE"
"31","Tile"
"5","Tile"
"30","FIND_MY"
"5","TILE"
"2","Tile"
"80","TILE"
"7","Tile"
"10","Tile"
"8","Tile"
"11","Tile"
"6","Tile"
"3","Tile"
"4","Tile"
"66","Tile"
"2","Tile"
"6","Tile"
"6","Tile"
"84","TILE"
"101","TILE"
"74","TILE"
"3","TILE"
"10","Chipolo"
"2","Chipolo"
"17","Tile"
"4","Tile"
"1","Tile"
"4","Tile"
"9","FIND_MY"
"2","TILE"
"13","Tile"
"10","Tile"
"2","Tile"
"6","Tile"
"21","Tile"
"1","Tile"
"90","Tile"
"91","Tile"
"4","TILE"
"4","TILE"
"4","TILE"
"10","Tile"
"7","Tile"
"19","Tile"
"20","Tile"
"20","Tile"
"29","Tile"
"20","Tile"
"5","Tile"
"1","TILE"
"31","Tile"
"7","TILE"
"6","Tile"
"104","Tile"
"27","TILE"
"25","TILE"
"5","Tile"
"2","Tile"
"1","Tile"
"1","Tile"
"2","Tile"
"2","Tile"
"1","Tile"
"8","Tile"
"4","Tile"
"2","Tile"
"8","FindMy Device"
"3","Tile"
"14","TILE"
"1","Tile"
"1","Tile"
"7","Apple AirTag"
"1","TILE"
"6","Tile"
"6","Tile"
"10","Tile"
"11","Tile"
"10","Tile"
"41","FIND_MY"
"131","Tile"
"29","Tile"
"51","Tile"
"56","Tile"
"21","Tile"
"34","Tile"
"9","FIND_MY"
"5","Tile"
"1","Tile"
"2","Tile"
"10","FIND_MY"
"2","Tile"
"1","TILE"
"3","Tile"
"24","TILE"
"2","Tile"
"2","TILE"
"2","Tile"
"16","Tile"
"9","Tile"
"9","Tile"
"7","Tile"
"15","Tile"
"66","Tile"
"6","TILE"
"11","Tile"
"2","Apple AirTag"
"1","Tile"
"1","Tile"
"1","Tile"
"1","Tile"
"2","Tile"
"10","Tile"
"4","Tile"
"60","Tile"
"9","Tile"
"58","Tile"
"15","Tile"
"9","Tile"
"33","Tile"
"45","Tile"
"23","Tile"
"3","Tile"
"3","Tile"
"128","Tile"
"62","Tile"
"27","Tile"
"15","Tile"
"2","Tile"
"1","Tile"
"11","Tile"
"56","Tile"
"4","Tile"
"16","Tile"
"1","Tile"
"7","Tile"
"55","Tile"
"15","TILE"
"53","TILE"
"40","TILE"
"15","Tile"
"5","Tile"
"25","Tile"
"11","Tile"
"2","Tile"
"2","Tile"
"45","Tile"
"39","Tile"
"26","Tile"
"10","Tile"
"10","Tile"
"4","Tile"
"3","TILE"
"7","Tile"
"3","Tile"
"2","Chipolo"
"8","Tile"
"8","Chipolo"
"51","Tile"
"6","Tile"
"5","Apple AirTag"
"2","Tile"
"3","Tile"
"3","Tile"
"2","Tile"
"2","Tile"
"2","Tile"
"3","Tile"
"31","Tile"
"24","Tile"
"11","Tile"
"26","Tile"
"35","Tile"
"34","Tile"
"18","Tile"
"42","Tile"
"20","Tile"
"16","Tile"
"4","Tile"
"1","Tile"
"3","Tile"
"3","Tile"
"3","Tile"
"2","Tile"
"2","Tile"
"2","Tile"
"7","Tile"
"1","Tile"
"14","Tile"
"16","Tile"
"10","Tile"
"16","Tile"
"6","Tile"
"3","Tile"
"5","Tile"
"1","Tile"
"2","Tile"
"3","Tile"
"9","Tile"
"1","Tile"
"14","Tile"
"12","Tile"
"2","Tile"
"1","Tile"
"7","Tile"
"2","Tile"
"9","Tile"
"2","Tile"
"5","Chipolo"
"61","Tile"
"1","Chipolo"
"52","Tile"
"2","Tile"
"12","Tile"
"14","Tile"
"19","Tile"
"41","Tile"
"3","Apple AirTag"
"14","TILE"
"1","Tile"
"9","Tile"
"1","Tile"
"41","Tile"
"30","Tile"
"2","Tile"
"13","Tile"
"7","Tile"
"44","Tile"
"36","Tile"
"14","Tile"
"9","Tile"
"20","Tile"
"9","Tile"
"10","Tile"
"1","Tile"
"1","Tile"
"24","TILE"
"13","Tile"
"3","Tile"
"1","Tile"
"4","Tile"
"4","Tile"
"3","Tile"
"5","Tile"
"3","Tile"
"1","Tile"
"1","Tile"
"2","Tile"
"1","Tile"
"2","Tile"
"2","Tile"
"2","Tile"
"59","Chipolo"
"20","Chipolo"
"6","Tile"
"7","Tile"
"3","Tile"
"9","Tile"
"1","Chipolo"
"2","Tile"
"3","Tile"
"3","Tile"
"1","Tile"
"15","Tile"
"22","Tile"
"11","Tile"
"1","Tile"
"1","FindMy Device"
"4","Chipolo"
"14","Tile"
"27","Tile"
"2","Tile"
"3","Tile"
"21","Tile"
"20","Tile"
"1","Tile"
"38","Tile"
"4","Tile"
"2","Tile"
"1","Tile"
"4","Tile"
"58","Tile"
"9","Tile"
"9","Tile"
"8","Tile"
"3","Tile"
"4","Tile"
"1","Tile"
"2","Tile"
"1","Tile"
"1","Tile"
"1","Tile"
"1","Tile"
"1","Tile"
"3","Tile"
"1","Tile"
"2","Tile"
"2","Tile"
"16","Tile"
"2","Tile"
"1","Tile"
"4","Apple AirTag"
"34","Tile"
"5","Chipolo"
"16","Tile"
"1","Tile"
"3","Tile"
"1","Tile"
"16","Tile"
"5","Tile"
"2","Tile"
"2","Tile"
"2","Tile"
"2","Tile"
"25","Chipolo"
"2","Tile"
"2","Tile"
"5","Tile"
"4","Tile"
"24","Tile"
"17","Tile"
"10","Tile"
"18","Tile"
"12","Tile"
"10","Tile"
"12","Tile"
"2","Tile"
"2","Tile"
"2","Tile"
"1","Tile"
"7","Tile"
"2","TILE"
"59","Tile"
"1","Chipolo"
"7","Tile"
"1","Tile"
"5","Tile"
"1","Tile"
"2","Tile"
"1","AIRTAG"
"1","Tile"
"2","Tile"
"2","Tile"
"7","Tile"
"4","Tile"
"2","Tile"
"6","Tile"
"1","Samsung SmartTag"
"3","Samsung SmartTag"
"3","Tile"
"6","Tile"
"3","Tile"
"4","TILE"
"4","Tile"
"9","Chipolo"
"1","TILE"
"1","Tile"
"3","Tile"
"3","Tile"
"1","Tile"
"1","Samsung SmartTag"
"8","Tile"
"4","Tile"
"5","Tile"
"1","Tile"
"5","Tile"
"6","Tile"
"1","Tile"
"2","Tile"
"10","Tile"
"10","Tile"
"2","Tile"
"2","Tile"
"1","Tile"
"1","Tile"
"1","Tile"
"2","AIRTAG"
"11","Tile"
"3","Tile"
"4","Tile"
"1","Tile"
"1","Tile"
"1","Samsung SmartTag"
"1","Tile"
"2","Chipolo"
"1","Chipolo"
"23","TILE"
"3","Tile"
"1","Tile"
"3","Tile"
"3","Tile"
"2","Tile"
"2","Tile"
"1","Samsung SmartTag"
"1","AIRTAG"
"1","Tile"
"1","Tile"
"5","TILE"
"9","TILE"
"9","TILE"
"1","FIND_MY"
"2","AIRTAG"
"1","AIRTAG"
"2","AIRTAG"
"1","GALAXY_SMART_TAG"
"1","AIRTAG"
"1","Tile"
"1","TILE"
"3","TILE"
"9","Tile"
"2","Tile"
"1","Tile"
"24","TILE"
"2","TILE"
"1","AIRTAG"
"1","Tile"
"11","Tile"
"1","Tile"
"1","Tile"
"5","Tile"
"1","Apple AirTag"
"2","AIRTAG"
"1","GALAXY_SMART_TAG"
"4","Tile"
"4","Tile"
"3","Tile"
"1","Tile"
"1","Tile"
"2","Tile"
"2","Tile"
"2","Tile"
"5","Tile"
"5","Tile"
"7","Tile"
"14","Tile"
"1","TILE"
"12","Chipolo"
"1","FIND_MY"
"3","TILE"
"1","Tile"
"1","AIRTAG"
"1","Chipolo"
"10","TILE"
"1","Samsung SmartTag"
"45","TILE"
"1","AIRTAG"
"5","Tile"
"29","TILE"
"4","Tile"
"1","Tile"
"1","Tile"
"1","Tile"
"1","Tile"
"1","Tile"
"1","Tile"
"6","Tile"
"1","TILE"
"2","Tile"
"2","GALAXY_SMART_TAG"
"4","Tile"
"2","Tile"
"2","GALAXY_SMART_TAG_PLUS"
"2","AIRTAG"
"38","TILE"
"1","Tile"
"4","Tile"
"5","Tile"
"4","Tile"
"3","Tile"
"3","Tile"
"3","Tile"
"2","Tile"
"2","Tile"
"1","Tile"
"10","Tile"
"2","TILE"
"44","Tile"
"36","Tile"
"22","Tile"
"6","Tile"
"2","Tile"
"2","Tile"
"1","Tile"
"5","Tile"
"2","AIRTAG"
"10","TILE"
"2","Tile"
"1","AIRTAG"
"2","AIRTAG"
"29","Tile"
"2","Tile"
"9","Tile"
"3","TILE"
"11","Tile"
"5","TILE"
"11","TILE"
"1","FIND_MY"
"2","Tile"
"1","TILE"
"28","Tile"
"13","Tile"
"2","Tile"
"1","AIRTAG"
"1","TILE"
"2","Tile"
"1","Tile"
"82","Tile"
"1","AIRTAG"
"1","Tile"
"1","AIRTAG"
"4","Tile"
"18","TILE"
"1","TILE"
"3","TILE"
"1","FIND_MY"
"2","Tile"
"2","Tile"
"1","Tile"
"18","TILE"
"33","Tile"
"28","Tile"
"12","Tile"
"21","Tile"
"2","Tile"
"1","Chipolo"
"1","Samsung SmartTag"
"113","Tile"
"15","Tile"
"1","Tile"
"2","Tile"
"2","TILE"
"4","TILE"
"1","TILE"
"1","Tile"
"3","TILE"
"16","TILE"
"2","Tile"
"36","Tile"
"20","Tile"
"2","AIRTAG"
"1","Tile"
"12","Tile"
"3","AIRTAG"
"1","Tile"
"3","AIRPODS"
"2","AIRTAG"
"2","AIRTAG"
"1","TILE"
"19","TILE"
"1","GALAXY_SMART_TAG_PLUS"
"1","AIRTAG"
"1","TILE"
"2","TILE"
"1","AIRTAG"
"6","FIND_MY"
"5","FIND_MY"
"1","GALAXY_SMART_TAG_PLUS"
"1","AIRTAG"
"8","Tile"
"2","AIRTAG"
"4","TILE"
"31","Tile"
"17","Tile"
"2","Samsung SmartTag"
"1","Samsung SmartTag"
"3","Samsung SmartTag"
"3","Samsung SmartTag"
"1","Tile"
"1","Tile"
"35","TILE"
"1","Tile"
"2","AIRTAG"
"4","TILE"
"3","TILE"
"11","TILE"
"35","Tile"
"1","Tile"
"19","TILE"
"16","Tile"
"28","Tile"
"23","Tile"
"1","Tile"
"3","TILE"
"9","FIND_MY"
"2","Samsung SmartTag"
"13","Chipolo"
"1","Tile"
"2","AIRPODS"
"1","Tile"
"1","Tile"
"1","Tile"
